Technique,Cujo,,,Zozzle,,,JaSt,,,JStap (NGrams),,,JStap (Values),,
,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall
"Sync, Omit String","88.01% (22,960/26,089)","0.89 (2,192/2,476)","0.49 (2,192/4,486)","92.89% (24,233/26,089)","0.97 (3,690/3,786)","0.68 (3,690/5,450)","84.69% (22,094/26,089)","1.00 (1,460/1,464)","0.29 (1,460/5,105)","73.18% (19,093/26,089)",1.00 (501/502),"0.11 (501/4,525)","81.34% (21,221/26,089)","1.00 (2,663/2,664)","0.59 (2,663/4,525)"
"Sync, Omit Arrays","97.14% (25,596/26,349)","0.94 (4,828/5,112)","0.91 (4,828/5,297)","95.30% (25,110/26,349)","0.98 (4,567/4,663)","0.84 (4,567/5,453)","87.57% (23,075/26,349)","1.00 (2,441/2,445)","0.48 (2,441/5,108)","70.77% (18,646/26,349)",0.98 (54/55),"0.01 (54/3,665)","70.87% (18,674/26,349)",0.99 (116/117),"0.03 (116/3,665)"
"Sync, Omit Window","96.20% (25,347/26,348)","0.94 (4,579/4,863)","0.86 (4,579/5,296)","95.30% (25,110/26,348)","0.98 (4,567/4,663)","0.84 (4,567/5,450)","87.35% (23,016/26,348)","1.00 (2,382/2,386)","0.47 (2,382/5,105)","70.77% (18,646/26,348)",0.98 (54/55),"0.02 (54/3,412)","70.98% (18,702/26,348)",0.99 (144/145),"0.04 (144/3,412)"
"Sync, Omit Calls","97.74% (25,754/26,349)","0.95 (4,986/5,270)","0.94 (4,986/5,297)","95.29% (25,107/26,349)","0.98 (4,564/4,660)","0.84 (4,564/5,450)","93.04% (24,514/26,349)","1.00 (3,880/3,884)","0.76 (3,880/5,105)","72.46% (19,092/26,349)",1.00 (500/501),"0.15 (500/3,441)","70.69% (18,627/26,349)",0.99 (69/70),"0.02 (69/3,441)"
"Sync, Omit Ifs","97.20% (25,609/26,348)","0.94 (4,841/5,125)","0.91 (4,841/5,296)","95.30% (25,109/26,348)","0.98 (4,566/4,662)","0.84 (4,566/5,450)","89.39% (23,552/26,348)","1.00 (2,918/2,922)","0.57 (2,918/5,105)","70.89% (18,677/26,348)",0.99 (85/86),"0.02 (85/3,420)","70.92% (18,686/26,348)",0.99 (128/129),"0.04 (128/3,420)"
"Sync, Omit Fors","97.20% (25,609/26,348)","0.94 (4,841/5,125)","0.91 (4,841/5,296)","95.30% (25,109/26,348)","0.98 (4,566/4,662)","0.84 (4,566/5,450)","89.39% (23,552/26,348)","1.00 (2,918/2,922)","0.57 (2,918/5,105)","70.89% (18,677/26,348)",0.99 (85/86),"0.02 (85/3,420)","70.92% (18,686/26,348)",0.99 (128/129),"0.04 (128/3,420)"
"Async, Omit Array","87.45% (23,041/26,349)","0.89 (2,273/2,557)","0.43 (2,273/5,297)","91.29% (24,055/26,349)","0.97 (3,512/3,608)","0.64 (3,512/5,453)","83.41% (21,979/26,349)","1.00 (1,345/1,349)","0.25 (1,345/5,453)","70.57% (18,595/26,349)",0.75 (3/4),"0.00 (3/4,608)","75.32% (19,845/26,349)","1.00 (1,287/1,288)","0.30 (1,287/4,263)"
"Async, Omit Calls","84.92% (22,375/26,348)","0.85 (1,607/1,891)","0.30 (1,607/5,296)","91.33% (24,064/26,348)","0.97 (3,521/3,617)","0.65 (3,521/5,453)","85.48% (22,522/26,348)","1.00 (1,888/1,892)","0.35 (1,888/5,453)","71.35% (18,798/26,348)",1.00 (206/207),"0.04 (206/4,647)","74.22% (19,555/26,348)",1.00 (997/998),"0.23 (997/4,302)"
"Async, Omit Fors","84.56% (22,282/26,349)","0.84 (1,514/1,798)","0.29 (1,514/5,297)","91.35% (24,070/26,349)","0.97 (3,527/3,623)","0.65 (3,527/5,453)","82.52% (21,742/26,349)","1.00 (1,108/1,112)","0.20 (1,108/5,453)","70.65% (18,615/26,349)",0.96 (23/24),"0.00 (23/4,603)","74.24% (19,561/26,349)","1.00 (1,003/1,004)","0.24 (1,003/4,258)"
"Async, Omit Ifs","84.77% (22,335/26,349)","0.85 (1,567/1,851)","0.30 (1,567/5,297)","91.02% (23,982/26,349)","0.97 (3,439/3,535)","0.63 (3,439/5,453)","82.63% (21,773/26,349)","1.00 (1,139/1,143)","0.21 (1,139/5,453)","70.77% (18,646/26,349)",0.98 (54/55),"0.01 (54/4,613)","74.44% (19,614/26,349)","1.00 (1,056/1,057)","0.25 (1,056/4,268)"
"Async, Omit Strings","84.97% (22,170/26,092)","0.83 (1,402/1,686)","0.31 (1,402/4,526)","92.78% (24,208/26,092)","0.97 (3,665/3,761)","0.67 (3,665/5,453)","83.45% (21,775/26,092)","1.00 (1,141/1,145)","0.21 (1,141/5,453)","72.52% (18,922/26,092)",1.00 (330/331),"0.06 (330/5,115)","82.44% (21,509/26,092)","1.00 (2,951/2,952)","0.62 (2,951/4,770)"
"Async, Omit Window Calls","84.60% (22,292/26,349)","0.84 (1,524/1,808)","0.29 (1,524/5,297)","91.38% (24,079/26,349)","0.97 (3,536/3,632)","0.65 (3,536/5,453)","82.43% (21,720/26,349)","1.00 (1,086/1,090)","0.20 (1,086/5,453)","70.57% (18,595/26,349)",0.75 (3/4),"0.00 (3/4,612)","74.49% (19,627/26,349)","1.00 (1,069/1,070)","0.25 (1,069/4,267)"
